date,part_number,vehicle_type,vehicle_model,warehouse_id,demand_type,demand_qty,shipped_qty,backorder_qty,on_hand_inventory,in_transit_inventory,safety_stock,warehouse_capacity,labor_utilization,promotion_flag,weather_index,fuel_price_index,is_holiday,day_of_week,week_of_year,month
2023-01-01,PN000,Passenger,Sedan_A,WH_1,Smooth,113,106,7,408,241,120,25000,0.805,0,33.2,3.31,0,7,52,1
2023-01-01,PN001,SUV,SUV_Y,WH_2,Smooth,100,94,6,600,332,127,25000,0.6287,0,33.2,3.31,0,7,52,1
2023-01-01,PN002,Truck,Truck_T1,WH_3,Smooth,46,43,3,655,260,120,25000,0.6582,0,33.2,3.31,0,7,52,1
2023-01-01,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,807,121,123,25000,0.5581,0,33.2,3.31,0,7,52,1
2023-01-01,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,734,199,120,25000,1.0,0,33.2,3.31,0,7,52,1
2023-01-01,PN005,Passenger,Hatch_C,WH_2,Erratic,87,81,6,228,119,90,25000,0.6007,0,33.2,3.31,0,7,52,1
2023-01-01,PN006,SUV,SUV_X,WH_3,Erratic,141,132,9,476,175,93,25000,0.6888,0,33.2,3.31,0,7,52,1
2023-01-01,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,397,95,58,25000,0.9629,0,33.2,3.31,0,7,52,1
2023-01-01,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,450,241,52,25000,0.6295,0,33.2,3.31,0,7,52,1
2023-01-02,PN000,Passenger,Sedan_A,WH_1,Smooth,139,130,9,312,207,120,25000,0.8324,0,33.2,3.31,1,1,1,1
2023-01-02,PN001,SUV,SUV_Y,WH_2,Smooth,112,105,7,542,285,127,25000,0.6253,0,33.2,3.31,1,1,1,1
2023-01-02,PN002,Truck,Truck_T1,WH_3,Smooth,48,45,3,647,223,120,25000,0.5994,0,33.2,3.31,1,1,1,1
2023-01-02,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,825,103,123,25000,0.5928,0,33.2,3.31,1,1,1,1
2023-01-02,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,763,170,120,25000,1.0,0,33.2,3.31,1,1,1,1
2023-01-02,PN005,Passenger,Hatch_C,WH_2,Erratic,657,214,443,31,102,90,25000,0.6118,0,33.2,3.31,1,1,1,1
2023-01-02,PN006,SUV,SUV_X,WH_3,Erratic,404,379,25,122,150,93,25000,0.6548,0,33.2,3.31,1,1,1,1
2023-01-02,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,411,81,58,25000,0.992,0,33.2,3.31,1,1,1,1
2023-01-02,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,484,207,52,25000,0.6028,0,33.2,3.31,1,1,1,1
2023-01-03,PN000,Passenger,Sedan_A,WH_1,Smooth,134,125,9,217,177,120,25000,0.7807,0,33.2,3.31,0,2,1,1
2023-01-03,PN001,SUV,SUV_Y,WH_2,Smooth,110,103,7,480,244,127,25000,0.6021,0,33.2,3.31,0,2,1,1
2023-01-03,PN002,Truck,Truck_T1,WH_3,Smooth,52,48,4,631,191,120,25000,0.6337,0,33.2,3.31,0,2,1,1
2023-01-03,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,839,89,123,25000,0.5738,0,33.2,3.31,0,2,1,1
2023-01-03,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,787,146,120,25000,0.9614,0,33.2,3.31,0,2,1,1
2023-01-03,PN005,Passenger,Hatch_C,WH_2,Erratic,103,29,74,17,87,90,25000,0.683,0,33.2,3.31,0,2,1,1
2023-01-03,PN006,SUV,SUV_X,WH_3,Erratic,112,105,7,39,128,93,25000,0.7162,0,33.2,3.31,0,2,1,1
2023-01-03,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,422,70,58,25000,0.9645,0,33.2,3.31,0,2,1,1
2023-01-03,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,514,177,52,25000,0.6005,0,33.2,3.31,0,2,1,1
2023-01-04,PN000,Passenger,Sedan_A,WH_1,Smooth,129,121,8,121,152,120,25000,0.8136,0,33.2,3.31,0,3,1,1
2023-01-04,PN001,SUV,SUV_Y,WH_2,Smooth,93,87,6,428,209,127,25000,0.5836,0,33.2,3.31,0,3,1,1
2023-01-04,PN002,Truck,Truck_T1,WH_3,Smooth,57,53,4,605,164,120,25000,0.6328,0,33.2,3.31,0,3,1,1
2023-01-04,PN003,EV,EV_E2,WH_4,Intermittent,0,0,0,852,76,123,25000,0.5489,0,33.2,3.31,0,3,1,1
2023-01-04,PN004,Hybrid,Hybrid_H1,WH_1,Intermittent,0,0,0,808,125,120,25000,0.991,0,33.2,3.31,0,3,1,1
2023-01-04,PN005,Passenger,Hatch_C,WH_2,Erratic,126,15,111,14,75,90,25000,0.6219,0,33.2,3.31,0,3,1,1
2023-01-04,PN006,SUV,SUV_X,WH_3,Erratic,469,35,434,22,110,93,25000,0.6738,0,33.2,3.31,0,3,1,1
2023-01-04,PN007,Truck,Truck_T2,WH_4,Lumpy,0,0,0,432,60,58,25000,1.0,0,33.2,3.31,0,3,1,1
2023-01-04,PN008,EV,EV_E1,WH_1,Lumpy,0,0,0,539,152,52,25000,0.6076,0,33.2,3.31,0,3,1,1
2023-01-05,PN000,Passenger,Sedan_A,WH_1,Smooth,132,112,20,31,130,120,25000,0.8106,0,33.2,3.31,0,4,1,1
2023-01-05,PN001,SUV,SUV_Y,WH_2,Smooth,81,76,5,382,179,127,25000,0.566,0,33.2,3.31,0,4,1,1
2023-01-05,PN002,Truck,Truck_T1,WH_3,Smooth,62,58,4,571,140,120,25000,0.6144,0,33.2,3.31,0,4,1,1
